"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"14755000-8","Volframs.","Tungsten","preces"
"14760000-6","Irīdijs, gallijs, indijs, tallijs un bārijs.","Iridium, gallium, indium, thallium and barium","preces"
"14761000-3","Irīdijs.","Iridium","preces"
"14762000-0","Gallijs.","Gallium","preces"
"14763000-7","Indijs.","Indium","preces"
"14764000-4","Tallijs.","Thallium","preces"
"14765000-1","Bārijs.","Barium","preces"
"14770000-9","Cēzijs, stroncijs, rubīdijs un kalcijs.","Caesium, strontium, rubidium and calcium","preces"
"14771000-6","Cēzijs.","Caesium","preces"
"14772000-3","Stroncijs.","Strontium","preces"
"14773000-0","Rubīdijs.","Rubidium","preces"
"14774000-7","Kalcijs.","Calcium","preces"
"14780000-2","Kālijs, magnijs, nātrijs un litijs.","Potassium, magnesium, sodium and lithium","preces"
"14781000-9","Kālijs.","Potassium","preces"
"14782000-6","Magnijs.","Magnesium","preces"
"14783000-3","Nātrijs.","Sodium","preces"
"14784000-0","Litijs.","Lithium","preces"
"14790000-5","Niobijs, osmijs, rēnijs un palādijs.","Niobium, osmium, rhenium and palladium","preces"
"14791000-2","Niobijs.","Niobium","preces"
"14792000-9","Osmijs.","Osmium","preces"
"14793000-6","Rēnijs.","Rhenium","preces"
"14794000-3","Palādijs.","Palladium","preces"
"14800000-9","Dažādi metālu nesaturošu minerālu izstrādājumi.","Miscellaneous non-metallic mineral products","preces"
"14810000-2","Abrazīvie produkti.","Abrasive products","preces"
"14811000-9","Dzirnakmeņi, galodas un tecīlas.","Millstones, grindstones and grinding wheels","preces"
"14811100-0","Dzirnakmeņi.","Millstones","preces"
"14811200-1","Galodas.","Grindstones","preces"
"14811300-2","Tecīlas.","Grinding wheels","preces"
"14812000-6","Abrazīvais pulveris vai graudiņi.","Abrasive powder or grain","preces"
"14813000-3","Mākslīgais korunds.","Artificial corundum","preces"
"14814000-0","Mākslīgais grafīts.","Artificial graphite","preces"
"14820000-5","Stikls.","Glass","preces"
"14830000-8","Stiklšķiedra.","Fibreglass","preces"
"14900000-0","Pārstrādātas otrreizējās izejvielas.","Recovered secondary raw materials","preces"
"14910000-3","Pārstrādātas otrreizējās metāla izejvielas.","Recovered secondary metal raw materials","preces"
"14920000-6","Pārstrādātas otrreizējās nemetāla izejvielas.","Recovered secondary non-metal raw materials","preces"
"14930000-9","Metālus saturoši pelni un pārpalikumi.","Ash and residues containing metals","preces"
"15000000-8","Pārtikas produkti, dzērieni, tabaka un saistītā produkcija.","Food, beverages, tobacco and related products","preces"
"15100000-9","Dzīvnieku valsts produkti, gaļa un gaļas produkti.","Animal products, meat and meat products","preces"
"15110000-2","Gaļa.","Meat","preces"
"15111000-9","Govs gaļa.","Bovine meat","preces"
"15111100-0","Liellopu gaļa.","Beef","preces"
"15111200-1","Teļa gaļa.","Veal","preces"
"15112000-6","Mājputnu gaļa.","Poultry","preces"
"15112100-7","Svaiga mājputnu gaļa.","Fresh poultry","preces"
"15112110-0","Zosis.","Geese","preces"
"15112120-3","Tītari.","Turkeys","preces"
"15112130-6","Cāļi.","Chickens","preces"
"15112140-9","Pīles.","Ducks","preces"
"15112300-9","Mājputnu aknas.","Poultry livers","preces"
"15112310-2","Zosu aknu pastēte.","Foie gras","preces"
"15113000-3","Cūkgaļa.","Pork","preces"
"15114000-0","Subprodukti.","Offal","preces"
"15115000-7","Jēra un aitas gaļa.","Lamb and mutton","preces"
"15115100-8","Jēra gaļa.","Lamb","preces"
"15115200-9","Aitas gaļa.","Mutton","preces"
"15117000-1","Kazas gaļa.","Goat meat","preces"
"15118000-8","Zirga, ēzeļa, mūļa vai zirgēzeļa gaļa.","Horse, ass, mule or hinny meat","preces"
"15118100-9","Zirga gaļa.","Horsemeat","preces"
"15118900-7","Ēzeļa, mūļa vai zirgēzeļa gaļa.","Ass, mule or hinny meat","preces"
"15119000-5","Dažādu dzīvnieku gaļa.","Various meats","preces"
"15119100-6","Truša gaļa.","Rabbit meat","preces"
"15119200-7","Zaķa gaļa.","Hare meat","preces"
"15119300-8","Medījumi.","Game","preces"
"15119400-9","Varžu kājiņas.","Frogs' legs","preces"
"15119500-0","Baloži.","Pigeons","preces"
"15119600-1","Zivju gaļa.","Fish meat","preces"
"15130000-8","Gaļas produkti.","Meat products","preces"
"15131000-5","Gaļas konservi un pusfabrikāti.","Meat preserves and preparations","preces"
"15131100-6","Desu un gaļas izstrādājumi.","Sausage-meat products","preces"
"15131110-9","Desās izmantojamā gaļa.","Sausage meat","preces"
"15131120-2","Desu izstrādājumi.","Sausage products","preces"
"15131130-5","Desas.","Sausages","preces"
"15131134-3","Asinsdesas.","Black pudding and other blood sausages","preces"
"15131135-0","Desas no mājputnu gaļas.","Poultry sausages","preces"
"15131200-7","Žāvēta, sālīta, kūpināta vai ar garšvielām apstrādāta gaļa.","Dried, salted, smoked or seasoned meat","preces"
"15131210-0","Kūpināts šķiņķis.","Gammon","preces"
"15131220-3","Bekons.","Bacon","preces"
"15131230-6","Salami.","Salami","preces"
"15131300-8","Aknu pusfabrikāti.","Liver preparations","preces"
"15131310-1","Pastēte.","P?té","preces"
"15131320-4","Zosu vai pīļu aknu pusfabrikāti.","Preparations of goose or duck liver","preces"
"15131400-9","Cūkgaļas produkti.","Pork products","preces"
"15131410-2","Šķiņķis.","Ham","preces"
"15131420-5","Frikadeles.","Meatballs","preces"
"15131490-6","Sagatavoti cūkgaļas ēdieni.","Prepared pork dishes","preces"
"15131500-0","Mājputnu gaļas produkti.","Poultry products","preces"
"15131600-1","Liellopu un teļa gaļas produkti.","Beef and veal products","preces"
"15131610-4","Liellopu gaļas frikadeles.","Beef meatballs","preces"
"15131620-7","Malta liellopu gaļa.","Minced beef","preces"
"15131640-3","Liellopu gaļas burgeri.","Beefburgers","preces"
"15131700-2","Gaļas pusfabrikāti.","Meat preparations","preces"
"15200000-0","Apstrādātas un ilglaicīgai glabāšanai sagatavotas zivis.","Prepared and preserved fish","preces"
"15210000-3","Zivju filejas, zivju aknas un ikri.","Fish fillets, fish livers and roe","preces"
"15211000-0","Zivju filejas.","Fish fillets","preces"
"15211100-1","Svaigas zivju filejas.","Fresh fish fillets","preces"
"15212000-7","Zivju ikri.","Fish roe","preces"
"15213000-4","Zivju aknas.","Fish livers","preces"
"15220000-6","Saldētas zivis, zivju filejas un cita veida zivju gaļa.","Frozen fish, fish fillets and other fish meat","preces"
"15221000-3","Saldētas zivis.","Frozen fish","preces"
"15229000-9","Saldēti zivju produkti.","Frozen fish products","preces"
"15230000-9","Vītinātas vai sālītas zivis; zivis sālījumā; kūpinātas zivis.","Dried or salted fish; fish in brine; smoked fish","preces"
"15231000-6","Vītinātas zivis.","Dried fish","preces"
"15232000-3","Sālītas zivis.","Salted fish","preces"
"15233000-0","Zivis sālījumā.","Fish in brine","preces"
"15234000-7","Kūpinātas zivis.","Smoked fish","preces"
"15235000-4","Konservētas zivis.","Preserved fish","preces"
"15240000-2","Konservētas un citādi apstrādātas vai ilglaicīgai glabāšanai sagatavotas zivis.","Canned or tinned fish and other prepared or preserved fish","preces"
"15241000-9","Pārklātas vai konservētas zivis.","Coated, canned or tinned fish","preces"
"15241100-0","Konservēts lasis.","Canned salmon","preces"
"15241200-1","Apstrādātas vai ilglaicīgai glabāšanai sagatavotas siļķes.","Prepared or preserved herring","preces"
"15241300-2","Sardīnes.","Sardines","preces"
"15241400-3","Konservēts tuncis.","Canned tuna","preces"
"15241500-4","Skumbrijas.","Mackerel","preces"
"15241600-5","Anšovi.","Anchovies","preces"
"15241700-6","Zivju pirkstiņi.","Fish fingers","preces"
"15241800-7","Pārklāti zivju izstrādājumi.","Coated fish preparations","preces"
"15242000-6","Gatavi zivju ēdieni.","Prepared fish dishes","preces"
"15243000-3","Zivju pusfabrikāti.","Preparations of fish","preces"
"15244000-0","Kaviārs un zivju ikri.","Caviar and fish eggs","preces"
"15244100-1","Kaviārs.","Caviar","preces"
"15244200-2","Ikri (zivju).","Fish eggs","preces"
"15250000-5","Jūras veltes.","Seafood","preces"
"15251000-2","Saldēti vēžveidīgie.","Frozen crustaceans","preces"
"15252000-9","Sagatavoti vai konservēti vēžveidīgie.","Prepared or preserved crustaceans","preces"
"15253000-6","Vēžveidīgo mīkstmiešu produkti.","Shellfish products","preces"
"15300000-1","Augļi, dārzeņi un saistītie produkti.","Fruit, vegetables and related products","preces"
"15310000-4","Kartupeļi un kartupeļu produkti.","Potatoes and potato products","preces"
"15311000-1","Saldēti kartupeļi.","Frozen potatoes","preces"
"15311100-2","Čipsi vai frī kartupeļi.","Chips or french fries","preces"
"15311200-3","Kubveidā, šķēlēs un citādi sagriezti saldēti kartupeļi.","Diced, sliced and other frozen potatoes","preces"
"15312000-8","Kartupeļu produkti.","Potato products","preces"
"15312100-9","Šķīstošā kartupeļu biezputra.","Instant mashed potatoes","preces"
"15312200-0","Daļēji apcepti kartupeļu čipsi.","Part-fried potato chips","preces"
"15312300-1","Kartupeļu kraukšķi.","Potato crisps","preces"
"15312310-4","Aromatizēti kartupeļu kraukšķi.","Flavoured potato crisps","preces"
"15312400-2","Kartupeļu uzkodas.","Potato snacks","preces"
"15312500-3","Kartupeļu kroketes.","Potato croquettes","preces"
"15313000-5","Pārstrādāti kartupeļi.","Processed potatoes","preces"
"15320000-7","Augļu un dārzeņu sulas.","Fruit and vegetable juices","preces"
"15321000-4","Augļu sulas.","Fruit juices","preces"
"15321100-5","Apelsīnu sula.","Orange juice","preces"
"15321200-6","Greipfrūtu sula.","Grapefruit juice","preces"
"15321300-7","Citronu sula.","Lemon juice","preces"
"15321400-8","Ananāsu sula.","Pineapple juice","preces"
"15321500-9","Vīnogu sula.","Grape juice","preces"
"15321600-0","Ābolu sula.","Apple juice","preces"
"15321700-1","Nekoncentrētu sulu maisījumi.","Mixtures of unconcentrated juices","preces"
"15321800-2","Koncentrētas sulas.","Concentrated juices","preces"
"15322000-1","Dārzeņu sulas.","Vegetable juices","preces"
"15322100-2","Tomātu sula.","Tomato juice","preces"
"15330000-0","Pārstrādāti augļi un dārzeņi.","Processed fruit and vegetables","preces"
"15331000-7","Pārstrādāti dārzeņi.","Processed vegetables","preces"
"15331100-8","Svaigi vai saldēti dārzeņi.","Fresh or frozen vegetables","preces"
"15331110-1","Pārstrādāti sakneņi.","Processed root vegetables","preces"
"15331120-4","Pārstrādāti bumbuļveida sakneņi.","Processed tuber vegetables","preces"
"15331130-7","Pupas, zirņi, dārzeņpipari, tomāti un citi dārzeņi.","Beans, peas, peppers, tomatoes and other vegetables","preces"
"15331131-4","Pārstrādātas pupiņas.","Processed beans","preces"
"15331132-1","Pārstrādāti zirņi.","Processed peas","preces"
"15331133-8","Šķeltie zirņi.","Split peas","preces"
"15331134-5","Pārstrādāti tomāti.","Processed tomatoes","preces"
"15331135-2","Pārstrādātas sēnes.","Processed mushrooms","preces"
"15331136-9","Pārstrādāti dārzeņpipari.","Processed peppers","preces"
"15331137-6","Sojas pupiņu asni.","Soybean sprouts","preces"
"15331138-3","Trifeles.","Truffles","preces"
"15331140-0","Lapu dārzeņi un kāpostveida dārzeņi.","Leaf and cabbage vegetables","preces"
"15331142-4","Pārstrādāti kāposti.","Processed cabbage","preces"
"15331150-3","Pārstrādāti pākšaugi.","Processed pulses","preces"
"15331170-9","Saldēti dārzeņi.","Frozen vegetables","preces"
"15331400-1","Ilglaicīgai uzglabāšanai apstrādāti un/vai konservēti dārzeņi.","Preserved and/or canned vegetables","preces"
"15331410-4","Pupiņas tomātu sulā.","Beans in tomato sauce","preces"
"15331411-1","Ceptas pupiņas.","Baked beans","preces"
"15331420-7","Ilglaicīgai uzglabāšanai sagatavoti tomāti.","Preserved tomatoes","preces"
"15331423-8","Konservēti tomāti.","Canned tomatoes","preces"
"15331425-2","Tomātu pasta.","Tomato purée","preces"
"15331427-6","Tomātu pastas koncentrāts.","Concentrated tomato purée","preces"
"15331428-3","Tomātu mērce.","Tomato sauce","preces"
"15331430-0","Konservētas sēnes.","Canned mushrooms","preces"
"15331450-6","Pārstrādātas olīvas.","Processed olives","preces"
"15331460-9","Konservēti dārzeņi.","Canned vegetables","preces"
"15331461-6","Konservēti skābie kāposti.","Canned sauerkraut","preces"
"15331462-3","Konservēti zirņi.","Canned peas","preces"
"15331463-0","Konservētas lobītas pupiņas.","Canned shelled beans","preces"
"15331464-7","Konservētas veselas pupiņas.","Canned whole beans","preces"
"15331465-4","Konservēti sparģeļi.","Canned asparagus","preces"
"15331466-1","Konservētas olīvas.","Canned olives","preces"
"15331470-2","Cukurkukurūza.","Sweet corn","preces"
"15331480-5","Ar konservantiem sākotnēji apstrādāti dārzeņi.","Provisionally preserved vegetables","preces"
"15331500-2","Etiķī konservēti dārzeņi.","Vegetables preserved in vinegar","preces"
"15332000-4","Pārstrādāti augļi un rieksti.","Processed fruit and nuts","preces"
"15332100-5","Pārstrādāti augļi.","Processed fruit","preces"
"15332140-7","Pārstrādāti āboli.","Processed apples","preces"
"15332150-0","Pārstrādāti bumbieri.","Processed pears","preces"
"15332160-3","Pārstrādāti banāni.","Processed bananas","preces"
"15332170-6","Rabarberi.","Rhubarb","preces"
"15332180-9","Melones.","Melons","preces"
"15332200-6","Ievārījumi un marmelādes; augļu želejas; augļu vai riekstu biezeņi un pastas.","Jams and marmalades; fruit jellies; fruit or nut purée and pastes","preces"
"15332230-5","Marmelādes.","Marmalades","preces"
"15332231-2","Apelsīnu marmelāde.","Orange marmalade","preces"
"15332232-9","Citronu marmelāde.","Lemon marmalade","preces"
"15332240-8","Augļu želejas.","Fruit jellies","preces"
"15332250-1","Augļu pastas.","Fruit pastes","preces"
"15332260-4","Riekstu pastas.","Nut pastes","preces"
"15332261-1","Zemesriekstu sviests.","Peanut butter","preces"
"15332270-7","Augļu biezeņi.","Fruit purées","preces"
"15332290-3","Ievārījumi.","Jams","preces"
"15332291-0","Aprikozu ievārījums.","Apricot jam","preces"
"15332292-7","Kazeņu ievārījums.","Blackberry jam","preces"
"15332293-4","Upeņu ievārījums.","Blackcurrant jam","preces"
"15332294-1","Ķiršu ievārījums.","Cherry jam","preces"
"15332295-8","Aveņu ievārījums.","Raspberry jam","preces"
"15332296-5","Zemeņu ievārījums.","Strawberry jam","preces"
"15332300-7","Pārstrādāti rieksti.","Processed nuts","preces"
"15332310-0","Grauzdēti vai sālīti rieksti.","Roasted or salted nuts","preces"
"15332400-8","Ar konservantiem apstrādāti augļi.","Preserved fruits","preces"
"15332410-1","Žāvēti augļi.","Dried fruit","preces"
"15332411-8","Pārstrādātas korintes.","Processed currants","preces"
"15332412-5","Pārstrādātas rozīnes.","Processed raisins","preces"
"15332419-4","Bezkauliņu rozīnes.","Sultanas","preces"
"15333000-1","Dārzeņu blakusprodukti.","Vegetable by-products","preces"
"15400000-2","Dzīvnieku vai augu eļļas un tauki.","Animal or vegetable oils and fats","preces"
"15410000-5","Nerafinētas dzīvnieku vai augu eļļas un tauki.","Crude animal or vegetable oils and fats","preces"
"15411000-2","Dzīvnieku vai augu eļļas.","Animal or vegetable oils","preces"
"15411100-3","Augu eļļas.","Vegetable oils","preces"
"15411110-6","Olīveļļa.","Olive oil","preces"
"15411120-9","Sezama sēklu eļļa.","Sesame oil","preces"
"15411130-2","Zemesriekstu eļļa.","Groundnut oil","preces"
"15411140-5","Kokosriekstu eļļa.","Coconut oil","preces"
"15411200-4","Vārīšanai izmantojama eļļa.","Cooking oil","preces"
"15411210-7","Cepšanai izmantojama eļļa.","Frying oil","preces"
"15412000-9","Tauki.","Fats","preces"
"15412100-0","Dzīvnieku taukvielas.","Animal fats","preces"
"15412200-1","Augu taukvielas.","Vegetable fats","preces"
"15413000-6","Augu taukvielu vai eļļu cietie atlikumi.","Solid residues of vegetable fats or oils","preces"
"15413100-7","Eļļas rausis.","Oilcake","preces"
"15420000-8","Rafinētās eļļas un tauki.","Refined oils and fats","preces"
"15421000-5","Rafinētās eļļas.","Refined oils","preces"
"15422000-2","Rafinētie tauki.","Refined fats","preces"
"15423000-9","Ar ūdeņradi bagātinātās vai esterētās eļļas vai tauki.","Hydrogenated or esterified oils or fats","preces"
"15424000-6","Augu vaski.","Vegetable waxes","preces"
"15430000-1","Pārtikas taukvielas.","Edible fats","preces"
"15431000-8","Margarīns un tamlīdzīgi produkti.","Margarine and similar preparations","preces"
"15431100-9","Margarīns.","Margarine","preces"
"15431110-2","Šķidrais margarīns.","Liquid margarine","preces"
"15431200-0","Margarīns ar zemu vai pazeminātu tauku saturu.","Reduced or low-fat spreads","preces"
"15500000-3","Piena produkti.","Dairy products","preces"
"15510000-6","Piens un krējums.","Milk and cream","preces"
"15511000-3","Piens.","Milk","preces"
